filename,dbh,residual_dbh,fdbh,dab,residual_dab,fdab,buttress_h,height,pa,crown_vol,crown_depth,fname_noext,tag.x,tag6,tag.y,dbh_2019,species_code,species,priority,lianas_2011,lianas_2012,lianas_2013,lianas_2014,lianas_2015,lianas_2016,lianas_2017,lianas_2018,lianas_2019,lianas_2020,lianas_2021,lianas_2022,lianas_2023,lianas_2024,recorded_years,infested_years,first_inf,last_inf,H1_category,calc.dbh,dendroDiam,dendroHt,paintDiam,paintHt,crown,illumination,stemdead,DendroID,measure,date,fid,sbpltnm,quadrnt,lianas_2019_field,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority_field,px,py,fid_tls,quadrnt_tls,dist,angle,x_tls,y_tls,x_aligned,y_aligned,dbh_cm,crown_base_h,log_dbh,log_depth,log_area,log_vol,log_height,slenderness,log_slender,cbh_ratio,log_cbh
GUARGU_110995.txt,0.225692725594093,2.9736785734099e-4,NA,0.20833862621544,1.0015691786674e-4,NA,2.5,18.0080003738404,74.6501180000008,279.479423253262,14.0070004463196,GUARGU_110995,110995,110995,110995,228.2364265271063,GUARGU,Guarea guidonia,low,1,1,1,0,0,0,0,0,0,0,0,NA,0,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013,2011,2013,Lost lianas,228.86138490359463,NA,1.44,NA,1.3,4,2,alive,233234,55.49,2024-12-03,753,58,2905,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849977409054,9.15215603788995,NA,581,119,753,2905,593.061548239,0.169562380404,-79.849977409054,9.15215603788995,-32.424168687574365,-26.146457617437022,22.823642652710628,4.0009999275208,3.1277969571425857,2.6395572365209485,4.312812104693941,5.632928670039863,2.8908161243641155,0.789006410933344,-0.23698083277847007,0.22217902290433725,-1.5042718126042889
GUARGU_67223.txt,0.22318992716832195,1.4635958665775307e-4,NA,0.2184996822773437,1.0224829781497524e-4,NA,1.42,20.97800004482269,39.828100999999506,137.27962974258847,10.47799968719482,GUARGU_67223,67223,067223,67223,220.14263849711392,GUARGU,Guarea guidonia,low,4,2,2,2,2,1,NA,0,0,0,0,0,0,0,2011;2012;2013;2014;2015;2016;2018;2019,2011;2012;2013;2014;2015;2016,2011,2016,Lost lianas,224.9114317661832,NA,1.4,NA,1.3,4,2,alive,1294,100,2024-12-11,264,74,3811,5,sub correcte: 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8482799361962,9.15307315110944,NA,763.8,227,264,3811,796.818323082,0.256421599582,-79.8482799361962,9.15307315110944,-30.102815706265233,18.723563839151467,22.01426384971139,10.500000357627869,3.0916906000709106,2.349277791132508,3.684572718426999,4.922019938639486,3.043474271676064,0.9529276194760296,-0.048216328394846415,0.5005243748304423,-0.6920989804527903
GUARGU_6750.txt,0.394801622243073,9.983232540701e-4,NA,0.379622278143153,4.339620147357e-4,NA,5.92,18.791000366211,75.5158564999999,344.535396649752,12.621000289917,GUARGU_6750,6750,006750,6750,380.63042765894215,GUARGU,Guarea guidonia,low,0,0,1,1,1,0,0,0,0,2,0,0,0,1,2011;2012;2013;2014;2015;2016;2017;2018;2019,2013;2014;2015,2013,2015,Lost lianas,380.483905485404,NA,3.5,NA,3.4,4,2,alive,2987,12.79,2024-11-14,751,20,1014,0,NA,NA,NA,NA,NA,NA,NA,Direct,adhesive_roots,NA,NA,NA,NA,NA,-79.8533660534596,9.15382080486317,completed,202.3,289.7,751,1014,353.343147662,0.928743659739,-79.8533660534596,9.15382080486317,9.82110748225341,19.66822621545157,38.06304276589422,6.170000076294002,3.6392438052277347,2.535362116247494,4.324342654071442,5.8421968330702905,2.9333780512956538,0.4936809829362454,-0.7058657539320811,0.32834867521947236,-1.1136792010130407
GUASTA_2500.txt,0.773052891199702,0.00280986465413216,NA,0.671560544102637,6.5192290061775e-4,NA,6.82,36.399,138.9817355,928.696526751167,19.942,GUASTA_2500,2500,002500,2500,782.3996143733303,GUAPST,Guapira standleyana,low,2,1,3,3,4,1,2,0,2,1,1,4,1,3,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2019,2011,2017,Persistently infested,783.5992784330575,NA,3.3,NA,3.2,4,5,alive,1252,55.55,2024-12-05,357,72,3513,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8486967314536,9.15351141959597,NA,716.3,273.8,357,3513,766.845571155,0.33264194674499997,-79.8486967314536,9.15351141959597,-25.073410112886336,17.578384654509165,78.23996143733304,16.457,4.359780532849817,2.9928280604066013,4.934342525216475,6.8337820188709815,3.594541301737846,0.46522262193539154,-0.765239231111972,0.45212780570894806,-0.7937903831245998
GUATDU_230878.txt,0.487399785502081,7.2039400596297e-4,NA,0.450546091627499,2.2133171475999e-4,NA,5.08,20.7529997825622,63.0390825,194.656772834415,13.672999382019,GUATDU_230878,230878,230878,230878,394.0874947671564,GUATDU,Guatteria dumetorum,low,2,0,0,0,0,0,1,0,4,0,1,2,3,3,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2017;2019,2011,2017,Persistently infested,420.1724412881627,NA,1.5,NA,1.3,4,4,alive,233548,90.41,2024-11-14,384,11,605,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8540888355688,9.15225379716988,NA,129.1,113.7,384,605,172.030520548,0.689593548075,-79.8540888355688,9.15225379716988,-21.164447230371792,39.84655901652897,39.40874947671564,7.080000400543199,3.673987859587399,2.615423040129767,4.14375489119244,5.2712378683877645,3.0326908040621077,0.5266089398452989,-0.6412970555252908,0.34115551846592324,-1.075416839782583
GUATDU_263687.txt,0.22038870434158,2.771224181634e-4,NA,0.237453319777361,1.3593715081042e-4,NA,1.66,22.6860003471375,10.9078185,23.6821821946206,19.5260003209114,GUATDU_263687,263687,263687,263687,226.11245001598863,GUATDU,Guatteria dumetorum,low,4,3,2,4,3,4,4,0,2,0,1,4,0,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2019,2011,2017,Persistently infested,230.8941890398468,NA,1.4,NA,1.3,4,3,alive,9,34.11,2024-11-19,383,1,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8550612772942,9.15514864179254,NA,10.9,429.8,383,21,429.938193232,1.51297835284,-79.8550612772942,9.15514864179254,17.30913049145198,-45.38176162121635,22.611245001598864,3.1600000262261005,3.1184473489755313,2.971746927238561,2.389479825680993,3.1647229592589787,3.1217480094386887,1.0033061136409496,0.0033006604631575422,0.13929295503272027,-1.9711759735404693
GUAULM_3557.txt,0.510054117758524,0.00170237664067148,NA,0.567251249835217,0.00149159175638746,NA,3.58,28.703,175.261892500001,641.437788653,21.622,GUAULM_3557,3557,003557,3557,586.6903003131845,GUAZUL,Guazuma ulmifolia,low,1,1,3,3,3,2,2,2,2,0,2,4,2,3,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,NA,NA,3.3,NA,3.2,1,2,alive,1005,NA,2024-12-05,449,59,2912,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849893211415,9.15341086131418,NA,585.3,258,449,2912,639.640594397,0.382713798837,-79.849893211415,9.15341086131418,-32.50000608466121,-27.49281255380612,58.66903003131845,7.0809999999999995,4.071911990183385,3.0737113148705797,5.166281383812021,6.4637122014153805,3.3570016469194606,0.48923597313059186,-0.7149103432639242,0.24669895132912933,-1.3995865062498236
GUAULM_633191.txt,0.421461022046493,7.3697592420237e-4,NA,0.379063937559873,2.2904148688824e-4,NA,6.1,27.218,98.8180889999996,535.194041000167,16.868,GUAULM_633191,633191,633191,633191,436.79087791717984,GUAZUL,Guazuma ulmifolia,low,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2011;2012;2013;2014;2015;2016;2017;2018;2019,2016,2016,2016,Lost lianas,517.3088759582396,NA,2.5,NA,2.4,4,5,alive,233965,104.2,2024-12-05,763,68,3315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491073208313,9.15386893178458,NA,669.8,311.7,763,3315,738.775290599,0.403093151324,-79.8491073208313,9.15386893178458,-47.07938015360435,3.393674588676646,43.67908779171798,10.350000000000001,3.776869447329338,2.8254183358843132,4.593280675039965,6.2826293745968895,3.303878519138126,0.6231357241201548,-0.47299092819121197,0.38026306120949377,-0.9668919994267476
GUSSUP_2685.txt,0.411593264259635,1.4520301612749e-4,NA,0.411593264259635,1.4520301612749e-4,NA,1.3,20.077,66.7630785000002,268.150203232833,12.576,GUSSUP_2685,2685,002685,2685,405.84238999876226,GUSTSU,Gustavia superba,low,3,4,3,2,3,3,NA,2,2,2,2,1,1,1,2011;2012;2013;2014;2015;2016;2018;2019,2011;2012;2013;2014;2015;2016;2018;2019,2011,2018,Persistently infested,416.9999174537816,417,1.4,419,1.3,3,3,alive,234767,14.93,2024-11-29,392,68,3415,35,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8490026046463,9.15381816463609,completed,681.5,306.5,392,3415,747.251296419,0.390177585747,-79.8490026046463,9.15381816463609,-36.45143969127014,-9.107119187677256,40.58423899987623,7.501000000000001,3.7033797892643023,2.531790235686851,4.20115021067235,5.5915472833359114,2.9995748812714416,0.4946994324585274,-0.703804907992861,0.3736115953578722,-0.9845385362839421
GUSTSU_104694.txt,0.23124115160155095,1.5882286401270037e-4,NA,0.22312850809500495,9.31631193117946e-5,NA,3.16,19.081000749021804,16.99740599999997,61.306657782229216,12.17000055313114,GUSTSU_104694,104694,104694,104694,232.02850428315065,GUSTSU,Gustavia superba,low,4,4,4,4,4,2,3,4,4,4,4,NA,4,4,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,2011,2018,Persistently infested,240.8897169583045,NA,1.5,NA,1.3,4,4,alive,233797,14.33,2024-11-28,558,64,3123,100,NA,NA,01310870,NA,NA,NA,NA,Both,NA,NA,NA,NA,scrambling,NA,-79.8493330813646,9.1553166273716,completed,639.3,470.8,558,3123,793.9503322,0.60229712053,-79.8493330813646,9.1553166273716,-17.572065203417992,32.168366663452616,23.202850428315067,6.911000195890663,3.144275134414631,2.4989739524498162,2.8330607441781512,4.11588844686884,2.9486931148030546,0.8223558914872262,-0.19558201961157648,0.362192753241465,-1.0155787413490338
