file_name,PAI_tree_only,slices_occupied,crown_height_m,elapsed_s,tag,PAI_combined,sbpltnm,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,infest_cat,infest_bin,dbh_cm,log_dbh
ALSEBL_2467,4.62604501607717,348,17.45,0.933127880096436,2467,9.29009768009768,69,Alseis blackiana,520,3517,32,0,100,NA,None,None,52,3.9512437185814275
ALSEBL_2470,5.35270623742455,307,15.35,0.475004196166992,2470,9.62445702250889,69,Alseis blackiana,382,3516,24,55,100,NA,Heavy,Infested,38.2,3.6428355156125294
ALSEBL_2497,9.38275123778938,276,13.8,1.08457899093628,2497,12.0726447368421,72,Alseis blackiana,310,3513,12,0,95,NA,None,None,31,3.4339872044851463
ALSEBL_2680,3.57949820788531,337,16.85,0.56878399848938,2680,9.24860256410257,68,Alseis blackiana,358,3414,23,80,100,NA,Heavy,Infested,35.8,3.5779478934066544
ALSEBL_2681,5.34147291466922,361,18.05,1.39261078834534,2681,10.8875479386385,68,Alseis blackiana,505,3414,24,25,100,NA,Light,Infested,50.5,3.9219733362813143
ALSEBL_3110,1.08708262591964,153,7.65,0.0972640514373779,3110,3.01083757781551,64,Alseis blackiana,222,3223,41,100,100,NA,Heavy,Infested,22.2,3.100092288878234
ALSEBL_3115,3.26728307254623,226,11.3,0.322263956069946,3115,7.20322580645161,64,Alseis blackiana,367,3223,43,100,100,NA,Heavy,Infested,36.7,3.6027767550605247
ALSEBL_3119,3.23658767083455,228,11.4,0.304521083831787,3119,6.87394034536892,64,Alseis blackiana,330,3223,31,10,90,NA,Light,Infested,33,3.4965075614664802
ALSEBL_3120,2.39908377227503,254,12.7,0.34101390838623,3120,7.38142222222222,64,Alseis blackiana,387,3224,11,100,95,NA,Heavy,Infested,38.7,3.655839600035736
ALSEBL_3130,3.628968456948,229,11.45,0.161396026611328,3130,7.60668965517241,64,Alseis blackiana,335,3224,41,95,100,NA,Heavy,Infested,33.5,3.5115454388310208
ALSEBL_3134,2.60317109144543,160,8,0.186448812484741,3134,4.74922849291904,64,Alseis blackiana,293,3124,24,50,5,NA,Light,Infested,29.3,3.3775875160230218
ALSEBL_3135,2.59611986169804,217,10.85,0.233309984207153,3135,6.82840022296544,64,Alseis blackiana,403,3124,14,90,100,NA,Heavy,Infested,40.3,3.696351468952637
ALSEBL_3145,1.23560047095761,235,11.75,0.157922983169556,3145,5.31641025641026,64,Alseis blackiana,410,3123,44,100,100,NA,Heavy,Infested,41,3.713572066704308
ALSEBL_3551,1.31603558394161,145,7.25,0.104417085647583,3551,4.62395451210565,59,Alseis blackiana,362,2913,14,100,100,NA,Heavy,Infested,36.2,3.5890591188317256
ALSEBL_3554,4.76942490775284,303,15.15,1.03488397598267,3554,6.87057777777778,59,Alseis blackiana,470,2913,33,0,100,NA,None,None,47,3.8501476017100584
ALSEBL_359,2.1418237384078,336,16.8,0.459697961807251,359,5.44362622261741,94,Alseis blackiana,500,4717,21,0,100,NA,None,None,50,3.912023005428146
ALSEBL_3600,5.87073965461062,512,25.6,1.84211802482605,3600,10.8855476190476,58,Alseis blackiana,462,2906,23,0,100,NA,None,None,46.2,3.832979798087693
ALSEBL_3602,6.40146130517803,326,16.3,2.21911382675171,3602,8.43906403940887,58,Alseis blackiana,473,2906,11,0,100,NA,None,None,47.3,3.856510295497887
ALSEBL_3612,6.90721244131455,439,21.95,2.86005401611328,3612,10.1258622034956,58,Alseis blackiana,540,2905,21,0,100,NA,None,None,54,3.9889840465642745
ALSEBL_3731,3.70757866922892,337,16.95,0.390352010726929,3731,5.93266666666667,59,Alseis blackiana,305,2812,43,0,10,NA,None,None,30.5,3.417726683613366
ALSEBL_4528,5.24130708001676,348,17.4,0.794780015945435,4528,9.23733644157016,49,Alseis blackiana,506,2316,21,5,25,sub:correcto(1,Light,Infested,50.6,3.92395157629342
ALSEBL_513,1.84992152711877,361,18.05,0.376006841659546,513,5.1230169737798,92,Alseis blackiana,419,4604,43,0,100,broken crown,None,None,41.9,3.735285826928092
ALSEBL_5316,3.71228694404591,285,14.25,0.395116090774536,5316,10.3156253569389,36,Alseis blackiana,437,1807,13,100,100,broken crown,Heavy,Infested,43.7,3.7773481021015445
ALSEBL_5540,4.94849258850034,439,21.95,1.34800100326538,5540,12.8184837092732,31,Alseis blackiana,492,1708,42,75,0,NA,Heavy,Infested,49.2,3.8958936234982624
ALSEBL_57043,3.48022727272727,339,16.95,0.444398880004883,57043,7.45644490644491,77,Alseis blackiana,275,4020,43,0,5,NA,None,None,27.5,3.3141860046725258
ALSEBL_5891,3.23724796798114,237,11.85,0.566078901290894,5891,8.30042112082928,28,Alseis blackiana,438,1504,43,15,25,NA,Light,Infested,43.8,3.7796338173824005
ALSEBL_5895,5.87531335233367,402,20.15,1.42445611953735,5895,14.2186577181208,28,Alseis blackiana,393,1504,21,5,100,NA,Light,Infested,39.3,3.6712245188752153
ALSEBL_6184,3.71753753753754,193,9.65,0.441174983978271,6184,4.72375107051099,24,Alseis blackiana,250,1311,21,0,5,NA,None,None,25,3.2188758248682006
ALSEBL_6554,4.42338961851157,268,13.55,0.23219108581543,6554,12.2478494623656,19,Alseis blackiana,305,1108,14,100,95,NA,Heavy,Infested,30.5,3.417726683613366
ALSEBL_6561,4.68412037357316,229,11.45,0.802999973297119,6561,7.1436461656948,19,Alseis blackiana,420,1107,13,0,85,NA,None,None,42,3.7376696182833684
ALSEBL_6707,4.64006522717049,233,11.65,0.546869993209839,6707,10.172217290964,19,Alseis blackiana,387,1007,11,100,90,NA,Heavy,Infested,38.7,3.655839600035736
ALSEBL_6745,6.05400874635569,513,26.25,2.39631295204163,6745,12.4083475971034,20,Alseis blackiana,715,1014,21,0,0,NA,None,None,71.5,4.269697449699962
ALSEBL_8209,4.10428797468354,207,10.35,0.285213947296143,8209,6.621140625,1,Alseis blackiana,504,121,43,0,100,broken crown,None,None,50.4,3.919991175077323
ALSEBL_82091,4.16491428571429,138,6.9,0.185338020324707,82091,6.89632653061225,72,Alseis blackiana,240,3512,31,100,100,NA,Heavy,Infested,24,3.1780538303479458
ALSEBL_8215,4.50968809073724,360,18,0.646126985549927,8215,11.8423038630028,1,Alseis blackiana,319,120,31,100,100,NA,Heavy,Infested,31.9,3.462606009790799
ALSEBL_88029,2.78010101010101,198,9.9,0.201589822769165,88029,6.71512544802867,69,Alseis blackiana,209,3417,22,100,100,NA,Heavy,Infested,20.9,3.039749158970765
ALSEBL_88116,3.52969348659004,107,5.35,0.0799851417541504,88116,5.0270474137931,69,Alseis blackiana,201,3417,43,0,75,NA,None,None,20.1,3.0007198150650303
ALSEBL_97203,4.54492063492064,271,13.55,0.527322053909302,97203,8.74419191919192,65,Alseis blackiana,252,3211,31,0,80,NA,None,None,25.2,3.2268439945173775
ALSEBL_99474,2.91559934318555,178,8.9,0.128067016601562,99474,3.61041666666667,64,Alseis blackiana,238,3223,13,30,0,NA,Light,Infested,23.8,3.169685580677429
ALSEBL_99532,2.15747847607097,199,9.95,0.194072008132935,99532,6.80861538461539,64,Alseis blackiana,371,3223,21,50,100,NA,Light,Infested,37.1,3.6136169696133895
ALSEBL_99837,4.09521597026403,248,12.6,0.335949897766113,99837,6.13360676749551,64,Alseis blackiana,345,3224,42,90,100,NA,Heavy,Infested,34.5,3.5409593240373143
APEIME_180862,4.90987103174603,244,12.2,0.303339004516602,180862,10.243407960199,28,Apeiba membranacea,304,1604,24,100,100,NA,Heavy,Infested,30.4,3.414442608412176
APEIME_206382,4.27506348949046,213,10.65,0.406324148178101,206382,8.20103225806452,19,Apeiba membranacea,237,1108,24,50,100,NA,Light,Infested,23.7,3.1654750481410856
APEIME_20851,0.800415800415801,80,4,0.0332839488983154,20851,4.63748125937032,92,Apeiba membranacea,229,4705,33,100,0,NA,Heavy,Infested,22.9,3.131136910560194
APEIME_2846,1.45456906502501,302,15.1,0.30585503578186,2846,6.2458894446582,68,Apeiba membranacea,478,3314,34,95,100,NA,Heavy,Infested,47.8,3.86702563949741
APEIME_2861,2.46212431531317,284,14.2,0.630558013916016,2861,6.40691784274194,65,Apeiba membranacea,649,3311,13,50,100,NA,Light,Infested,64.9,4.1728476237100445
APEIME_3141,1.44802892648287,355,17.85,0.258183002471924,3141,6.3514168797954,64,Apeiba membranacea,787,3123,14,100,90,NA,Heavy,Infested,78.7,4.365643155423357
APEIME_7343,0.9163593550447,139,6.95,0.122431993484497,7343,2.3633818411895,11,Apeiba membranacea,482,605,23,5,5,NA,Light,Infested,48.2,3.8753590210565547
APEIME_8213,4.30463441451347,329,16.45,0.524375915527344,8213,11.3150793650794,1,Apeiba membranacea,362,120,23,100,100,NA,Heavy,Infested,36.2,3.5890591188317256
APEIME_82615,3.11069767441861,74,3.7,0.0770351886749268,82615,5.14652777777778,69,Apeiba membranacea,271,3516,14,100,100,broken crown,Heavy,Infested,27.1,3.299533727885655
ASPICR_2178,4.6213944648341,376,18.95,1.68019580841064,2178,6.80635943303267,74,Aspidosperma spruceanum,1059,3710,33,0,100,NA,None,None,105.9,4.662495252607361
ASPICR_3730,4.49836828486464,371,18.55,0.908994197845459,3730,7.78823665001921,59,Aspidosperma spruceanum,540,2812,33,0,100,NA,None,None,54,3.9889840465642745
ASPICR_8205,5.02049775688955,257,12.85,0.990248203277588,8205,9.26656954887218,1,Aspidosperma spruceanum,659,121,24,50,100,NA,Light,Infested,65.9,4.188138441508461
AST2GR_231066,3.43321680504401,165,8.25,0.240402936935425,231066,7.10726579788542,11,Astronium graveolens,312,606,44,100,100,broken crown,Heavy,Infested,31.2,3.4404180948154366
AST2GR_5221,1.30438001802392,402,20.1,0.447613954544067,5221,3.61359885620915,36,Astronium graveolens,844,1907,41,0,100,NA,None,None,84.4,4.4355674016019115
ATTALE_2172,2.77933785032338,163,8.15,0.220273971557617,2172,5.30533746130031,74,Attalea butyracea,340,3711,12,0,5,NA,None,None,34,3.5263605246161616
BEILPE_1776,2.49483825950047,260,13,0.365748882293701,1776,4.51952780543308,77,Beilschmiedia pendula,505,3921,14,0,100,NA,None,None,50.5,3.9219733362813143
