fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
11,82,018076,Hirtella triandra,4215,018076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8475250088719,9.15383545637379,NA
221,82,018082,Triplaris cumingiana,4215,018082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8475260499248,9.15388254794593,NA
211,82,018094,Trichilia tuberculata,4215,018094,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474757022253,9.1537631260518,completed
210,82,018136,Trichilia tuberculata,4215,018136,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474149662306,9.15378088040614,NA
228,82,018167,Virola sebifera,4214,018167,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474956708757,9.15358737926967,completed
229,82,018197,Virola sebifera,4214,018197,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474437662186,9.15353667481161,completed
747,92,020742,Drypetes standleyi,4704,020742,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465613954558,9.15168564035592,NA
429,92,020843,Tachigali versicolor,4705,020843,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466013855371,9.1519159972914,NA
535,92,020851,Apeiba membranacea,4705,020851,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465989185851,9.15195934488534,NA
771,94,022669,Gustavia superba,4716,022669,0,NA,NA,NA,NA,NA,NA,NA,Direct,adhesive_roots,adhesive_roots,NA,NA,NA,NA,-79.8466425408504,9.15393990152181,completed
15,94,022798,Hirtella triandra,4716,022798,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8464820285503,9.1539975530855,NA
405,94,023250,Guarea guidonia,4717,023250,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8465568025013,9.15417213487792,NA
13,92,025739,Hirtella triandra,4604,025739,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468918430185,9.15173898229513,NA
