tag6,species,infestation_type,dominant_mode,dominant_class,crown_depth,pa,crown_vol,height,dbh_2019,dbh_cm,log_dbh,log_depth,log_area,log_vol,log_height
000359,Alseis blackiana,Direct,adhesive_roots,Passive,16.724,93.33588,393.718955731167,30.525,491.8318048452896,49.18318048452896,3.895551704980238,2.8168448134943187,4.5362045998431775,5.97563734444409,3.4185460199967683
000360,Quararibea asterolepis,Both,scrambling,Active,12.598,76.9615005000003,408.409093815333,33.062,452.8151915358072,45.28151915358072,3.81289898354372,2.5335380711997373,4.34330530330876,6.012269352975351,3.4983845866308205
001072,Quararibea asterolepis,Both,twining,Active,17.863,92.7853145000004,440.69885895,27.363,472.6686517653488,47.26686517653488,3.8558095252067446,2.8827315344667475,4.5302883783470635,6.0883617826682785,3.309191735866131
001082,Alseis blackiana,Direct,adhesive_roots,Passive,17.585,61.3245975000001,388.451059198,33.156,480.10021260273936,48.01002126027394,3.8714097653728685,2.867046265925946,4.11618102673125,5.962167188122021,3.50122369572928
001283,Alseis blackiana,Direct,adhesive_roots,Passive,17.309,175.832142499999,1129.43777454217,29.83,711.6642967027257,71.16642967027256,4.26502121383492,2.8512265974442617,5.1695298041473245,7.0294752432370275,3.395514598526657
001718,Alseis blackiana,Direct,scrambling,Passive,16.105,59.5666490000001,308.587872098,29.196,433.8444546122969,43.38444546122969,3.770100977355068,2.779129782783162,4.087095836910772,5.732006639409559,3.374031713589386
001773,Trichilia tuberculata,Both,adhesive_roots,Passive,16.488,128.985340499999,857.467581432333,27.229,451.0532474514811,45.10532474514811,3.809000304842092,2.802632843588158,4.859698758369319,6.753983372415618,3.3042825818100696
001775,Alseis blackiana,Direct,adhesive_roots,Passive,13.9139995574951,70.02370049999996,404.1181703403194,25.52399969100948,396,39.6,3.6788291182604347,2.632895495698596,4.2488337633159965,6.001707336033493,3.239619173900219
001983,Quararibea asterolepis,Both,scrambling,Active,12.248,29.1691534999999,133.922387427167,21.999,440,44,3.784189633918261,2.5053626583553825,3.3731117639179278,4.8972604338460535,3.090996997779772
001985,Quararibea asterolepis,Both,scrambling,Active,14.2,72.2291245,308.413640316167,27.581,438.21876082659657,43.82187608265966,3.7801331466387964,2.653241964607215,4.279843350986942,5.73144187001124,3.31712712986593
002171,Alseis blackiana,Both,adhesive_roots,Active,16.40399932861333,74.28137099999977,365.06689401007566,23.89399945735936,395,39.5,3.676300671907076,2.797525166601583,4.307860193503185,5.900080608050847,3.1736273586847012
002342,Alseis blackiana,Both,adhesive_roots,Active,10.972999572754,88.60878900000034,389.694438699868,21.863999783992817,620.6546234000208,62.06546234000208,4.128189672227236,2.3954376710725453,4.484231051336777,5.9653629415214295,3.0848414387461847
002470,Alseis blackiana,Both,adhesive_roots,Active,15.313,43.8482039999995,204.622129363667,24.504,379.5259250424849,37.95259250424849,3.636337815190803,2.7287021408330707,3.780733760168668,5.321165006826454,3.1988363695304742
002497,Alseis blackiana,Both,hooks,Active,13.76100063323974,50.778660500000015,290.75390779912357,21.933000564575188,310,31,3.4339872044851463,2.6218385503001294,3.9274761974331436,5.6724772317181635,3.0879923777201896
