tag6,species,sbpltnm,height_2011,dbh_2011,log_height_2011,log_dbh_2011,slenderness_2011,log_slender_2011,lianas_2011,lianas_2012,lianas_2019,h2_2011_category,gained_by_2019
001086,ALCHCO,NA,22.1,424.9266929686502,3.095577608523707,3.749331573920167,0.5200897087825563,-0.6537539653964599,0,1,0,remained uninfested,0
165952,ALSEBL,NA,19.7,219.05334555750298,2.9806186357439426,3.086730194180515,0.8993243152649598,-0.10611155843657244,0,0,0,remained uninfested,0
240553,ALSEBL,NA,19.7,235.48040285510882,2.9806186357439426,3.1590426019472457,0.8365876633955572,-0.17842396620330292,0,0,0,remained uninfested,0
025227,ALSEBL,NA,20.9,255.0130406452129,3.039749158970765,3.2387295906419347,0.8195659307116432,-0.19898043167116952,0,0,0,remained uninfested,0
165783,ALSEBL,NA,22.1,340.5991566019047,3.095577608523707,3.5281211990186305,0.6488565685390313,-0.4325435904949233,0,0,0,remained uninfested,0
007625,ALSEBL,NA,22.9,618.9140215355809,3.131136910560194,4.1253812710699815,0.37000292776019283,-0.9942443605097875,0,1,0,remained uninfested,0
005891,ALSEBL,28,23.3,427.93068900079,3.1484533605716547,3.7563761478868574,0.544480697432686,-0.6079227873152024,0,1,0,remained uninfested,0
122629,ALSEBL,NA,25.2,247.07358785282807,3.2268439945173775,3.207101125792304,1.0199390480786898,0.019742868725073682,0,0,0,remained uninfested,0
003415,ALSEBL,NA,25.6,301.7669142690311,3.242592351485517,3.407069819328229,0.8483368715888152,-0.16447746784271222,0,0,0,remained uninfested,0
002467,ALSEBL,69,26.4,517.2300434578225,3.2733640101522705,3.945902640882126,0.5104111861621353,-0.6725386307298552,0,0,0,remained uninfested,0
001034,ALSEBL,NA,26.5,445.5147501025682,3.2771447329921766,3.796645262465398,0.5948175676315781,-0.5195005294732217,0,0,0,remained uninfested,0
002326,ALSEBL,72,27.1,586.2682814477466,3.299533727885655,4.071192409986419,0.4622457133972613,-0.7716586821007642,0,1,1,gained infestation,1
000513,ALSEBL,92,27.5,411.53592408409605,3.3141860046725258,3.7173112236384984,0.6682284192128136,-0.4031252189659729,0,0,0,remained uninfested,0
001283,ALSEBL,82,29.3,699.6679581619081,3.3775875160230218,4.248020784028963,0.41877007026266844,-0.8704332680059411,0,1,0,remained uninfested,0
006745,ALSEBL,20,30.5,665.767296721798,3.417726683613366,4.198355112168806,0.458118026376188,-0.7806284285554402,0,0,0,remained uninfested,0
000779,ALSEBL,NA,30.9,540.1457748625112,3.4307561839036995,3.989253963582493,0.5720677905490474,-0.5584977796787934,0,0,0,remained uninfested,0
002933,ALSEBL,NA,32.4,904.3064332177603,3.4781584227982836,4.5045831847575615,0.35828562984686807,-1.0264247619592775,0,3,1,gained infestation,1
005197,ANACEX,NA,38.6,1826.6578025638373,3.653252276470785,5.207658145657094,0.21131489404212603,-1.5544058691863085,0,2,1,gained infestation,1
003721,ANACEX,NA,40,1294.2305012993204,3.6888794541139363,4.863086497037483,0.30906395699871614,-1.174207042923547,0,2,0,remained uninfested,0
004306,ANACEX,NA,40.5,1248.212053179658,3.7013019741124933,4.826882355908286,0.32446409964421924,-1.1255803817957932,0,0,0,remained uninfested,0
000556,ANACEX,NA,41.7,861.3603641245422,3.730501128804756,4.45592786524545,0.48411793410511156,-0.7254267364406946,0,0,0,remained uninfested,0
008162,ANDIIN,NA,28.2,443.2118030359855,3.339321977944068,3.7914626734833035,0.6362646438301276,-0.45214069553923536,0,0,0,remained uninfested,0
156272,APEIME,NA,23.8,486.583443196524,3.169685580677429,3.8848233112864103,0.4891247397085709,-0.7151377306089811,0,0,0,remained uninfested,0
001119,APEIME,NA,30.1,525.4072669909858,3.40452517175483,3.961588615511163,0.5728889166756883,-0.5570634437563325,0,0,2,gained infestation,1
001031,APEIME,NA,30.3,488.11138773775804,3.4111477125153233,3.8879585403742003,0.6207599486754637,-0.47681082785887674,0,0,0,remained uninfested,0
004465,APEIME,NA,31.4,735.0727940189901,3.4468078929142076,4.297384440796325,0.42716857779923223,-0.8505765478821169,0,0,0,remained uninfested,0
008074,APEIME,NA,32.5,891.5487066542453,3.481240089335692,4.49037497731393,0.36453420612278387,-1.0091348879782382,0,0,1,gained infestation,1
007082,APEIME,NA,32.7,880.0318410958743,3.487375077903208,4.477372996887109,0.37157746427992633,-0.9899979189839009,0,1,1,gained infestation,1
001045,ASPICR,NA,37.1,610.3154261486812,3.6136169696133895,4.1113908225743065,0.6078823901620001,-0.49777385296091725,0,0,0,remained uninfested,0
005869,ASPICR,NA,37.7,772.9645703858,3.629660094453965,4.347648120630681,0.4877325746144261,-0.7179880261767155,0,0,0,remained uninfested,0
002178,ASPICR,74,38.5,1001.9361998829323,3.6506582412937387,4.607104513852043,0.38425600357087003,-0.9564462725583043,0,1,0,remained uninfested,0
000918,ASPICR,NA,40.7,682.2689962039344,3.7062280924485496,4.222838909671689,0.596538905130529,-0.51661081722314,0,0,0,remained uninfested,0
004787,ASPICR,NA,41.8,1075.8981349971798,3.7328963395307104,4.678325973169219,0.3885126169505774,-0.9454296336385085,0,0,0,remained uninfested,0
001493,ASPICR,NA,42.8,934.9855714079569,3.756538102587751,4.5379460045263285,0.45776107470352956,-0.781407901938577,0,0,0,remained uninfested,0
007663,AST2GR,NA,35.7,420.9778667278614,3.5751506887855933,3.7399951662133564,0.8480255809524079,-0.16484447742776304,0,0,0,remained uninfested,0
007391,AST2GR,NA,36.3,590.8871953585019,3.591817741270805,4.0790400353961065,0.6143304557137362,-0.48722229412530144,0,0,0,remained uninfested,0
004901,AST2GR,NA,37.4,493.81129882998687,3.6216707044204863,3.899568365044458,0.7573743267643691,-0.27789766062397203,0,0,0,remained uninfested,0
001392,BEILPE,NA,25.1,284.7577400872556,3.2228678461377385,3.3490536910086166,0.8814510184098542,-0.1261858448708783,0,0,0,remained uninfested,0
