Model,term,Estimate,Std. Error,Q2.5,Q97.5,Significant,% Effect
H1 PAI — log(PAI tree only),Intercept,1.91,0.222,1.47,2.34,Yes,573
H1 PAI — log(PAI tree only),infest_catLight,0.0837,0.0508,-0.016,0.183,No,8.73
H1 PAI — log(PAI tree only),infest_catHeavy,-0.131,0.0542,-0.236,-0.0254,Yes,-12.3
H1 PAI — log(PAI tree only),log_dbh,-0.203,0.0579,-0.315,-0.0873,Yes,-18.3
