Model,term,Estimate,Std. Error,Q2.5,Q97.5,Significant,% Effect
H1 — Slenderness (height/DBH),Intercept,-0.487,0.0414,-0.57,-0.408,Yes,-38.6
H1 — Slenderness (height/DBH),H1_categoryLostlianas,-0.0346,0.0376,-0.109,0.039,No,-3.4
H1 — Slenderness (height/DBH),H1_categoryPersistentlyinfested,-0.0728,0.0387,-0.149,0.00352,No,-7.02
