Model,term,Estimate,Std. Error,Q2.5,Q97.5,Significant,% Effect
H2 — Slenderness (height/DBH),Intercept,-0.473,0.0389,-0.549,-0.396,Yes,-37.7
H2 — Slenderness (height/DBH),H2_categorygainedinfestation,-0.0431,0.0361,-0.114,0.028,No,-4.22
